,Word,Frequency
71496,"s E n t r l , a I z",2
8112,s E r @ m @ U n I @ l,102
90746,s E r I n e I d I d,1
48371,"s E v n , z",7
48297,s I @ r @ s,1
68562,s I @ r I @ l a I z d,1
54226,s I b @ r I t I k,4
77005,s I k l u: d I d,1
49208,s I k n @ s I z,2
49385,s I l v @ f I S,4
49398,s I m @ l @ l I,556
68747,s I n,2
49509,s I n I N,10
47302,s I n t @ l e I t I N,4
49559,s I t I n z,16
50696,s O g @ l I,1
46896,s O ~: N,20
51013,s V D @ n m @ s t,7
53321,s V b @ b,114
69359,s V b d Z @ g e I t I d,2
53419,s V f I k s I z,2
53362,s V k j @ l @ n t,2
77856,"s V k l ,",2
77855,s V k t,34
91180,s V m @ n d,40
50820,s V m @ s O l t,1
53607,s V n S a I n,302
69425,s V n d,1
69423,s V n d @ d,1
69426,s V p,3
53864,s V r E p t I S @ s,22
53310,"s V t l , t I z",25
49452,s a I n,49
49321,s a I n @ z,4
47008,s a U @ k r a U t,9
76895,s e I,3930
68352,s e I f g A: d,15
46671,s e I g @ U,4
76854,s e I l d,32
47658,s i: @ n E m @ n I,1
7067,s i: Z O: r @,2
47895,s i: d l I N,10
9749,s i: l @ k & n T,10
47737,s i: s I k,28
85443,s i: z,44
53681,"s j U p @ s E S n ,",1
53695,s j U p @ v a I z I N,41
77886,s j u: p r I m p @ U z,1
76913,s k & t @ d,39
47168,s k E @ d,335
77247,s k E t S,8
49763,s k V N k s,1
85683,s k a I r O k I t I d,1
90689,s k a U @ d,7
47089,s k e I b I @ s,4
49624,s k e I t @ r *,5
49621,s k e I t b O: d I N,2
76955,s k r O: l d,8
47268,s k u: l d,4
51780,s k w E @ r @ r *,6
69112,"s k w O b l ,",1
49808,s l & m,11
49839,s l & p s,8
49901,s l E d z,9
77300,s l I m d,1
68825,s l I m d,1
50023,s l I t,6
49865,s l O: t @ r I N,25
77296,s l a I s t,25
49873,s l e I v d r a I v @ z,5
50310,s m V d Z I,8
50306,s m V d Z d,5
50439,s n I g @ d,4
90927,s n I g @ d,4
77571,s p 3: r *,3
77467,s p E @ d,29
51232,s p E k t & k j @ l @ z,2
85909,s p E n d,391
51555,s p U @ r *,13
51333,s p a I z,96
51269,s p i: d O m @ t @ r *,15
90995,s p l & t @ d,4
51442,s p l & t @ r I N,8
51475,s p l O d Z,2
91002,s p l V t @ d,4
77560,"s p r E d i: g l , d",4
77569,s p r V N,21
91067,s t & S t,3
51950,s t & g n @ n s I,1
91058,s t & m p i: d I d,2
52050,s t & n d @ d z,1196
52183,s t & t I s t I k l I,30
51889,s t @ b I l I t I,273
52223,s t E d,53
52229,s t E d I z,1
69213,s t E m d,12
52341,s t E p s,674
52343,s t E p s,549
86099,"s t I f n ,",7
52403,s t I k @ l I,1
91087,s t I m j @ l e I t I d,26
69231,s t I m j @ l e I t I d,26
52507,s t I p j @ l e I t I d,4
52526,s t I t S t,9
52667,s t O: r I z,34
53032,s t V d I I N,535
53039,s t V f I N,33
53057,s t V m p,74
91145,s t a I l a I z d,15
53110,s t a I l d,5
51949,s t e I d Z I N z,1
51985,s t e I k I N,10
52155,s t e I t r u: m,2
77804,s t j U p I f a I,1
52397,s t j u: z,2
52792,s t r & t @ d Z I,695
52943,s t r @ U l,9
52911,s t r I N z,8
86195,s t r V t,3
69289,s t r i: k t,12
52836,s t r i: t k A: z,4
69257,s t u: p,7
50984,s u: p k I t S I n z,1
86389,s w 3: l d,10
86391,s w I S t,1
53985,s w O: m,32
54016,s w e I I N,127
54062,s w i: t b r E d z,20
54573,"t & N g l , z",1
54735,t & t I,18
55135,"t 3: m I n l ,",211
56394,t @ U d,7
54732,t @ t U I N,18
78053,t E @ r *,56
69631,t E n d I d,107
55083,t E n f @ U l d,11
55173,t E r I f a I,4
55738,"t I k l , d",5
86431,t O: k,981
54746,t O: r @ s,8
56288,t O: r I,300
86624,t O: t S @ d,24
56425,t O k s I k,106
86618,"t O p l , d",7
71515,t S & m p j @ n,3
8270,"t S & n l , z",4
87849,t S A: d Z d,98
8240,"t S A: n s l , r I",21
62885,t S E k @ d,6
8638,t S a I l d I S n @ s,13
8667,t S a I m z,9
8260,t S e I n Z l I N z,2
8617,t S i: f l I,198
8501,t S i: k s,374
8503,t S i: p I N,1
57281,t V n d r @ z,2
57416,t V t t V t,1
55858,t a I m S i: t,1
55976,"t a I t l , d i: d z",3
54458,t e I l s p I n,1
54538,t e I m z,2
69606,t i:,4
78057,t i: d,1
57422,t i: v i:,679
57289,t j u: n @ r *,2
91361,t r & f I k t,2
56444,t r & k @ U m @,10
78281,t r & p t,66
56581,"t r A: n s @ n d E n t l , I s t",1
56653,"t r A: n s l I t @ r e I S n ,",4
56695,t r A: n s p O: t I d,19
56685,t r A: n s p l A: n t,49
78265,t r A: n z g r E s t,2
78303,t r I k t,5
56956,t r I l z,6
57046,t r O l I,94
57069,"t r O p I k l ,",332
57071,t r O p I k s,1
57159,t r V m p s,3
57160,t r V m p s,1
56737,t r a U m & t I k @ l I,2
56533,t r e I,55
56508,t r e I l,268
56519,t r e I n b E @ r @ r *,1
69798,t r e I n d,137
56433,t r e I s,342
86736,t r u: p,2
69881,t r u: p,2
57542,t u: s t E p s,1
69933,t w 3: l,2
57521,t w I t @ r I N,29
57472,t w a I l a I t,147
58857,"v & s l , z",4
59002,"v 3: d n , t",13
86965,v E d Z @ t e I t I d,1
86972,v E n t,4
58881,v I @ r *,5
91546,v I S I e I t I d,1
59236,v I l @ n,72
59215,v I n E t,6
59250,v I n d I k t I v,39
91521,v O: n t I d,2
59463,v O l t s,64
59487,v O m I t I d,9
61147,w 3: d I N,33
61190,w 3: k s,571
60993,w I D @ z,9
78760,w I n S t,1
61031,w I z @ d z,6
59786,w O: d A: n s I z,1
59692,w O: k O n z,2
59811,w O: l O: d,4
59822,w O: m h A: t I d n @ s,1
59837,w O: n I N,93
59983,w O: t @ g l A: s,4
59994,w O: t @ l u:,80
60026,w O: t @ w e I z,19
78787,"w O b l ,",5
61036,"w O b l ,",2
61113,w U d m @ n,3
91640,w a I @ d,13
59922,"w e I s t f l ,",91
60081,"w i: k n , d",25
61669,z I g z & g,15
